Room,Sensor,Measurement,Value,Unit,Timestamp
3D,0000F26C,Temperature,25.25,Celsius,2025-04-04 11:06:52
3D,0000F26C,Humidity,47.91,%,2025-04-04 11:06:52
3C,0000F26B,Humidity,37.95,%,2025-04-04 11:06:53
3C,0000F26B,Temperature,24.67,Celsius,2025-04-04 11:06:53
1C,0000F269,Humidity,36.35,%,2025-04-04 11:07:15
1C,0000F269,Temperature,25.31,Celsius,2025-04-04 11:07:15
1D,0000B323,CO2,1043,ppm,2025-04-04 11:08:56
1D,0000B323,Humidity,42.92,%,2025-04-04 11:08:56
1D,0000B323,Temperature,25.18,Celsius,2025-04-04 11:08:56
2C,0000F26A,Temperature,23.96,Celsius,2025-04-04 11:10:43
2C,0000F26A,Pressure,990.1,mbar,2025-04-04 11:10:43
2C,0000F26A,Humidity,33,%,2025-04-04 11:10:43
2C,0000F26A,CO2,506,ppm,2025-04-04 11:10:43
exterior,0000F257,Temperature,18.2,Celsius,2025-04-04 11:11:01
1D,0000F258,Temperature,25.18,Celsius,2025-04-04 11:11:13
3C,0000F26B,Pressure,991.2,mbar,2025-04-04 11:11:53
3C,0000F26B,Humidity,38.21,%,2025-04-04 11:11:53
3C,0000F26B,Temperature,24.82,Celsius,2025-04-04 11:11:53
3C,0000F26B,CO2,1236,ppm,2025-04-04 11:11:53
1C,0000F269,Temperature,25.32,Celsius,2025-04-04 11:12:15
1C,0000F269,Pressure,990.1,mbar,2025-04-04 11:12:15
1C,0000F269,Humidity,34.41,%,2025-04-04 11:12:15
1C,0000F269,CO2,859,ppm,2025-04-04 11:12:15
3D,0000F26C,Humidity,48.15,%,2025-04-04 11:12:33
3D,0000F26C,Pressure,991.1,mbar,2025-04-04 11:12:33
3D,0000F26C,Temperature,25.43,Celsius,2025-04-04 11:12:33
3D,0000F26C,CO2,3008,ppm,2025-04-04 11:12:33
1D,0000B323,Humidity,42.95,%,2025-04-04 11:13:56
1D,0000B323,Temperature,25.24,Celsius,2025-04-04 11:13:56
2C,0000F264,Temperature,23.98,Celsius,2025-04-04 11:14:04
2C,0000F264,Humidity,35.96,%,2025-04-04 11:14:04
2C,0000F26A,Temperature,23.9,Celsius,2025-04-04 11:15:43
2C,0000F26A,Humidity,32.84,%,2025-04-04 11:15:43
3C,0000F26B,Humidity,39,%,2025-04-04 11:16:53
3C,0000F26B,Temperature,24.8,Celsius,2025-04-04 11:16:53
1C,0000F269,Temperature,25.27,Celsius,2025-04-04 11:17:15
1C,0000F269,Humidity,34.71,%,2025-04-04 11:17:15
3D,0000F26C,Humidity,48.51,%,2025-04-04 11:17:33
3D,0000F26C,Temperature,25.4,Celsius,2025-04-04 11:17:33
1D,0000B323,Temperature,25.28,Celsius,2025-04-04 11:18:56
1D,0000B323,Humidity,42.79,%,2025-04-04 11:18:56
1D,0000B323,CO2,979,ppm,2025-04-04 11:18:56
2C,0000F26A,CO2,502,ppm,2025-04-04 11:20:43
2C,0000F26A,Temperature,23.99,Celsius,2025-04-04 11:20:43
2C,0000F26A,Pressure,990.1,mbar,2025-04-04 11:20:43
2C,0000F26A,Humidity,32.83,%,2025-04-04 11:20:43
exterior,0000F257,Temperature,18.31,Celsius,2025-04-04 11:21:01
1D,0000F258,Temperature,25.19,Celsius,2025-04-04 11:21:13
3C,0000F26B,Temperature,24.96,Celsius,2025-04-04 11:21:53
3C,0000F26B,CO2,1404,ppm,2025-04-04 11:21:53
3C,0000F26B,Pressure,991.1,mbar,2025-04-04 11:21:53
3C,0000F26B,Humidity,38.86,%,2025-04-04 11:21:53
1C,0000F269,Temperature,25.39,Celsius,2025-04-04 11:22:15
1C,0000F269,Humidity,34.9,%,2025-04-04 11:22:15
1C,0000F269,CO2,973,ppm,2025-04-04 11:22:15
1C,0000F269,Pressure,990,mbar,2025-04-04 11:22:15
3D,0000F26C,Temperature,25.6,Celsius,2025-04-04 11:23:16
3D,0000F26C,Humidity,48.87,%,2025-04-04 11:23:16
3D,0000F26C,CO2,3149,ppm,2025-04-04 11:23:16
3D,0000F26C,Pressure,990.9,mbar,2025-04-04 11:23:16
1D,0000B323,Temperature,25.22,Celsius,2025-04-04 11:23:56
1D,0000B323,Humidity,41.79,%,2025-04-04 11:23:56
2C,0000F264,Temperature,23.98,Celsius,2025-04-04 11:24:04
2C,0000F264,Humidity,35.9,%,2025-04-04 11:24:04
2C,0000F26A,Humidity,32.79,%,2025-04-04 11:25:43
2C,0000F26A,Temperature,23.92,Celsius,2025-04-04 11:25:43
3C,0000F26B,Humidity,38.87,%,2025-04-04 11:26:53
3C,0000F26B,Temperature,24.91,Celsius,2025-04-04 11:26:53
1C,0000F269,Temperature,25.35,Celsius,2025-04-04 11:27:15
1C,0000F269,Humidity,35.48,%,2025-04-04 11:27:15
3D,0000F26C,Humidity,49.1,%,2025-04-04 11:28:16
3D,0000F26C,Temperature,25.55,Celsius,2025-04-04 11:28:16
1D,0000B323,Temperature,25.14,Celsius,2025-04-04 11:28:56
1D,0000B323,CO2,938,ppm,2025-04-04 11:28:56
1D,0000B323,Humidity,41.33,%,2025-04-04 11:28:56
2C,0000F26A,Temperature,24.03,Celsius,2025-04-04 11:30:43
2C,0000F26A,Humidity,32.68,%,2025-04-04 11:30:43
2C,0000F26A,CO2,509,ppm,2025-04-04 11:30:43
2C,0000F26A,Pressure,990,mbar,2025-04-04 11:30:43
exterior,0000F257,Temperature,18.54,Celsius,2025-04-04 11:31:01
1D,0000F258,Temperature,25.05,Celsius,2025-04-04 11:31:13
3C,0000F26B,Humidity,38.92,%,2025-04-04 11:31:53
3C,0000F26B,CO2,1355,ppm,2025-04-04 11:31:53
3C,0000F26B,Pressure,990.9,mbar,2025-04-04 11:31:53
